vehicle_id,normalized_plate,normalized_chassis,make,model,year,county_code,plate_category,source,reserve_price_kes,confidence,listing_type,extraction_method,plate_source_count,chassis_plate_count,is_govt_plate,has_chassis,has_price,fraud_label,fraud_confidence,fraud_reason,fraud_evidence,label_source
69034,EA,,BMW,3 Series,2008,EA,PRIVATE,garam_auctioneers,320291,0.8,AUCTION_LISTING,generated,2,1,0,0,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:garam_auctioneers,kra_disposals""]",ORGANIC_MULTI_SOURCE
64223,KAQ648S,,BMW,3 Series,2019,KA,PRIVATE,garam_auctioneers,1742380,0.8,AUCTION_LISTING,generated,2,1,0,0,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:auto24_kenya,garam_auctioneers""]",ORGANIC_MULTI_SOURCE
19156,KAG376S,JF1DZAN30RZFRX0T9,Subaru,XV,2022,KA,PRIVATE,keysian_auctioneers,1756242,0.8,AUCTION_LISTING,generated,2,1,0,1,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:garam_auctioneers,keysian_auctioneers""]",ORGANIC_MULTI_SOURCE
65613,KAG376S,JF1HLU7M589G964RH,Honda,Fit,2006,KA,PRIVATE,keysian_auctioneers,564493,0.8,AUCTION_LISTING,generated,2,1,0,1,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:garam_auctioneers,keysian_auctioneers""]",ORGANIC_MULTI_SOURCE
30997,KAO526F,WVWKAYJDU5V7EZ4CP,Suzuki,Alto,2021,KA,PRIVATE,keysian_auctioneers,309572,0.8,AUCTION_LISTING,generated,2,1,0,1,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:cheki_kenya,keysian_auctioneers""]",ORGANIC_MULTI_SOURCE
29600,KAG376S,MHYC1Y57KST508XT1,BMW,X3,2015,KA,PRIVATE,keysian_auctioneers,434854,0.8,AUCTION_LISTING,generated,2,1,0,1,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:garam_auctioneers,keysian_auctioneers""]",ORGANIC_MULTI_SOURCE
92753,KAF393D,,Toyota,Hilux,2009,KA,PRIVATE,cort_auctions,438152,0.78,AUCTION_LISTING,generated,2,1,0,0,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:cort_auctions,garam_auctioneers""]",ORGANIC_MULTI_SOURCE
99782,KAQ232B,,Isuzu,NQR,2025,KA,PRIVATE,cort_auctions,1216373,0.78,AUCTION_LISTING,generated,2,1,0,0,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:cort_auctions,ncba_bank""]",ORGANIC_MULTI_SOURCE
21229,KAI675U,,Suzuki,Jimny,2009,KA,PRIVATE,cort_auctions,1722090,0.78,AUCTION_LISTING,generated,2,1,0,0,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:cort_auctions,kra_disposals""]",ORGANIC_MULTI_SOURCE
64223,KAQ648S,,Range Rover,Evoque,2010,KA,PRIVATE,auto24_kenya,1292369,0.6,MARKETPLACE_LISTING,generated,2,1,0,0,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:auto24_kenya,garam_auctioneers""]",ORGANIC_MULTI_SOURCE
23078,KAO526F,,Hyundai,Accent,2014,KA,PRIVATE,cheki_kenya,2197527,0.6,MARKETPLACE_LISTING,generated,2,1,0,0,1,1,0.75,SUSPECTED_FRAUD,"[""plate_in_2_sources:cheki_kenya,keysian_auctioneers""]",ORGANIC_MULTI_SOURCE
